LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,SLICE_ID,SLICE_NAME,GENERAL,MEAN_HYPSODONTY,nb_orders,nb_genera,nb_spec,nb_spec_all,Carnivora_genera,Creodonta_genera,Carnivora,Creodonta,Carnivora_Acheronictis,Carnivora_Actiocyon,Carnivora_Adelphailurus,Carnivora_Adilophontes,Carnivora_Aelurocyon,Carnivora_Aelurodon,Carnivora_Agriotherium,Carnivora_Allocyon,Carnivora_Amphictis,Carnivora_Amphicyon,Carnivora_Archaeocyon,Carnivora_Arctomeles,Carnivora_Arctonasua,Carnivora_Arikarictis,Carnivora_Barbourofelis,Carnivora_Bassariscus,Carnivora_Bassicyonoides,Carnivora_Borocyon,Carnivora_Borophagus,Carnivora_Brachyopsigale,Carnivora_Brachypsalis,Carnivora_Buisnictis,Carnivora_Canis,Carnivora_Carpocyon,Carnivora_Cephalogale,Carnivora_Cerdocyon,Carnivora_Cernictis,Carnivora_Chamitataxus,Carnivora_Chasmaporthetes,Carnivora_Chrysocyon,Carnivora_Cormocyon,Carnivora_Craterogale,Carnivora_Cynarctoides,Carnivora_Cynarctus,Carnivora_Cynelos,Carnivora_Cynodesmus,Carnivora_Daphoenodon,Carnivora_Daphoenus,Carnivora_Desmocyon,Carnivora_Dinaelurus,Carnivora_Dinictis,Carnivora_Dinogale,Carnivora_Ectopocynus,Carnivora_Edaphocyon,Carnivora_Enhydritherium,Carnivora_Enhydrocyon,Carnivora_Eomellivora,Carnivora_Epicyon,Carnivora_Eucyon,Carnivora_Euplocyon,Carnivora_Eusmilus,Carnivora_Felis,Carnivora_Ferinestrix,Carnivora_Hemicyon,Carnivora_Hesperocyon,Carnivora_Homotherium,Carnivora_Hoplictis,Carnivora_Hoplophoneus,Carnivora_Hypsoparia,Carnivora_Indarctos,Carnivora_Ischyrocyon,Carnivora_Leptarctus,Carnivora_Leptocyon,Carnivora_Limnonyx,Carnivora_Lutravus,Carnivora_Lynx,Carnivora_Machairodus,Carnivora_Mammacyon,Carnivora_Martes,Carnivora_Martinogale,Carnivora_Meganteron,Carnivora_Meles,Carnivora_Mephitis,Carnivora_Mesocyon,Carnivora_Metalopex,Carnivora_Metatomarctus,Carnivora_Microtomarctus,Carnivora_Miomustela,Carnivora_Mionictis,Carnivora_Mustela,Carnivora_Mustelavus,Carnivora_Nanosmilus,Carnivora_Nasua,Carnivora_Nimravides,Carnivora_Nimravus,Carnivora_Oligobunis,Carnivora_Osbornodon,Carnivora_Otarocyon,Carnivora_Oxetocyon,Carnivora_Palaeogale,Carnivora_Paracynarctus,Carnivora_Paradaphoenus,Carnivora_Parailurus,Carnivora_Paranasua,Carnivora_Paraoligobunus,Carnivora_Paratomarctus,Carnivora_Parenhydrocyon,Carnivora_Parictis,Carnivora_Philotrox,Carnivora_Phlaocyon,Carnivora_Phoberogale,Carnivora_Plesictis,Carnivora_Plesiogulo,Carnivora_Pliocyon,Carnivora_Pliogale,Carnivora_Plionarctos,Carnivora_Plionictis,Carnivora_Pliotaxidea,Carnivora_Plithocyon,Carnivora_Pogonodon,Carnivora_Potamotherium,Carnivora_Pratifelis,Carnivora_Probassariscus,Carnivora_Procyon,Carnivora_Promartes,Carnivora_Protepicyon,Carnivora_Protomarctus,Carnivora_Psalidocyon,Carnivora_Pseudailurus,Carnivora_Pseudocyon,Carnivora_Puma,Carnivora_Rhizocyon,Carnivora_Satherium,Carnivora_Smilodon,Carnivora_Sminthosinis,Carnivora_Spilogale,Carnivora_Stenogale,Carnivora_Sthenictis,Carnivora_Sunkahetanka,Carnivora_Taxidea,Carnivora_Temnocyon,Carnivora_Tephrocyon,Carnivora_Tomarctus,Carnivora_Trigonictis,Carnivora_Urocyon,Carnivora_Ursavus,Carnivora_Ursus,Carnivora_Vulpes,Carnivora_Ysengrinia,Carnivora_Zodiolestes,Creodonta_Hyaenodon,indet.
10060,California CC17H,34.803056,-119.2925,10.09,9.07,12,Clarendonian-3,y,2.25,1,5,5,6,5,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10064,California CC19,34.851389,-119.553611,17.34,15.97,7,Hemingfordian-2,n,1.60,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10065,California CC20,35.485556,-118.889722,17.34,15.97,7,Hemingfordian-2,n,1.50,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10066,California CC21A,35.191111,-118.323889,17.34,15.97,7,Hemingfordian-2,n,1.88,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10067,California CC21B,35.19,-118.316389,15.97,14.78,8,Barstovian-1,n,2.00,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10068,California CC21C,35.19,-118.316389,14.78,12.57,9,Barstovian-2,n,1.78,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10069,California CC22A,34.298333,-117.468889,17.34,15.97,7,Hemingfordian-2,n,1.91,1,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10074,California CC23A,38.555605,-121.468926,15.97,14.78,8,Barstovian-1,y,1.82,1,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10079,California CC24,35.125556,-118.824167,12.11,10.09,11,Clarendonian-2,n,1.00,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10082,California CC25B,37.600278,-120.579167,5.91,4.91,16,Hemphillian-4,y,2.73,1,8,9,9,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
