LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,SLICE_ID,SLICE_NAME,GENERAL,MEAN_HYPSODONTY,nb_orders,nb_genera,nb_spec,nb_spec_all,Artiodactyla_genera,Hyracoidea_genera,Perissodactyla_genera,Primates_genera,Proboscidea_genera,Artiodactyla,Hyracoidea,Perissodactyla,Primates,Proboscidea,Artiodactyla_Acteocemas,Artiodactyla_Albanohyus,Artiodactyla_Alces,Artiodactyla_Alephis,Artiodactyla_Ampelomeryx,Artiodactyla_Amphimoschus,Artiodactyla_Amphiprox,Artiodactyla_Amphitragulus,Artiodactyla_Andegameryx,Artiodactyla_Aragoral,Artiodactyla_Arvernoceros,Artiodactyla_Aureliachoerus,Artiodactyla_Austroportax,Artiodactyla_Axis,Artiodactyla_Bachitherium,Artiodactyla_Bedenomeryx,Artiodactyla_Birgerbohlinia,Artiodactyla_Bohlinia,Artiodactyla_Brachyodus,Artiodactyla_Bramatherium,Artiodactyla_Bunolistriodon,Artiodactyla_Cainotherium,Artiodactyla_Camelus,Artiodactyla_Capreolus,Artiodactyla_Cervavitulus,Artiodactyla_Cervavitus,Artiodactyla_Cervocerus,Artiodactyla_Cervus,Artiodactyla_Conohyus,Artiodactyla_Criotherium,Artiodactyla_Croizetoceros,Artiodactyla_Csakvarotherium,Artiodactyla_Decennatherium,Artiodactyla_Deperetia,Artiodactyla_Dicrocerus,Artiodactyla_Doliochoerinae,Artiodactyla_Dorcabune,Artiodactyla_Dorcatherium,Artiodactyla_Dremotherium,Artiodactyla_Dystychoceras,Artiodactyla_Dytikodorcas,Artiodactyla_Elomeryx,Artiodactyla_Eosyncerus,Artiodactyla_Eotragus,Artiodactyla_Etruria,Artiodactyla_Eucladoceros,Artiodactyla_Euprox,Artiodactyla_Friburgomeryx,Artiodactyla_Gazella,Artiodactyla_Gazellospira,Artiodactyla_Georgiomeryx,Artiodactyla_Germanomeryx,Artiodactyla_Giraffa,Artiodactyla_Giraffokeryx,Artiodactyla_Graecoryx,Artiodactyla_Helicotragus,Artiodactyla_Helladorcas,Artiodactyla_Helladotherium,Artiodactyla_Hemitragus,Artiodactyla_Hesperidoceras,Artiodactyla_Heteroprox,Artiodactyla_Hexaprotodon,Artiodactyla_Hippopotamodon,Artiodactyla_Hispanodorcas,Artiodactyla_Hispanomeryx,Artiodactyla_Hydropotopsis,Artiodactyla_Hyotherium,Artiodactyla_Hypsodontus,Artiodactyla_Injanatherium,Artiodactyla_Ioribos,Artiodactyla_Karsimatherium,Artiodactyla_Kobus,Artiodactyla_Korynochoerus,Artiodactyla_Koufotragus,Artiodactyla_Kubanochoerus,Artiodactyla_Lagomeryx,Artiodactyla_Leptobos,Artiodactyla_Ligeromeryx,Artiodactyla_Listriodon,Artiodactyla_Lorancahyus,Artiodactyla_Lorancameryx,Artiodactyla_Lucentia,Artiodactyla_Macedonitherium,Artiodactyla_Majoreas,Artiodactyla_Maremmia,Artiodactyla_Megaceros,Artiodactyla_Megalovis,Artiodactyla_Merycopotamus,Artiodactyla_Mesembriacerus,Artiodactyla_Metacervocerus,Artiodactyla_Micromeryx,Artiodactyla_Microtherium,Artiodactyla_Miotragocerus,Artiodactyla_Moldoredunca,Artiodactyla_Moschus,Artiodactyla_Muntiacus,Artiodactyla_Neomegaloceros,Artiodactyla_Nesogoral,Artiodactyla_Nisidorcas,Artiodactyla_Oioceros,Artiodactyla_Orasius,Artiodactyla_Oriomeryx,Artiodactyla_Orygotherium,Artiodactyla_Oryx,Artiodactyla_Ouzocerus,Artiodactyla_Pachytragus,Artiodactyla_Palaeochoerus,Artiodactyla_Palaeogiraffa,Artiodactyla_Palaeomeryx,Artiodactyla_Palaeoplatyceros,Artiodactyla_Palaeoreas,Artiodactyla_Palaeoryx,Artiodactyla_Palaeotragus,Artiodactyla_Parabos,Artiodactyla_Parabunodon,Artiodactyla_Paracamelus,Artiodactyla_Paracervulus,Artiodactyla_Parachleuastochoerus,Artiodactyla_Parapseudotragus,Artiodactyla_Parastrepsiceros,Artiodactyla_Paratragocerus,Artiodactyla_Pheraios,Artiodactyla_Phronetragus,Artiodactyla_Plesiaddax,Artiodactyla_Pliocervulus,Artiodactyla_Pliocervus,Artiodactyla_Plioportax,Artiodactyla_Pliotragus,Artiodactyla_Pomelomeryx,Artiodactyla_Procamptoceras,Artiodactyla_Procapreolus,Artiodactyla_Procervulus,Artiodactyla_Procobus,Artiodactyla_Propotamochoerus,Artiodactyla_Prostrepsiceros,Artiodactyla_Protoryx,Artiodactyla_Protragelaphus,Artiodactyla_Protragocerus,Artiodactyla_Pseudalces,Artiodactyla_Pseudodama,Artiodactyla_Pseudoeotragus,Artiodactyla_Pseudotragus,Artiodactyla_Retroporcus,Artiodactyla_Samokeros,Artiodactyla_Samotherium,Artiodactyla_Samotragus,Artiodactyla_Sanitherium,Artiodactyla_Sardomeryx,Artiodactyla_Schizoporcus,Artiodactyla_Sinapodorcas,Artiodactyla_Sinotragus,Artiodactyla_Sivatherium,Artiodactyla_Skoufotragus,Artiodactyla_Spirocerus,Artiodactyla_Sporadotragus,Artiodactyla_Stehlinoceros,Artiodactyla_Stephanocemas,Artiodactyla_Sus,Artiodactyla_Taucanamo,Artiodactyla_Tauromeryx,Artiodactyla_Tchaltacerus,Artiodactyla_Teruelia,Artiodactyla_Tethytragus,Artiodactyla_Tossunnoria,Artiodactyla_Tragoportax,Artiodactyla_Tragoreas,Artiodactyla_Tragospira,Artiodactyla_Triceromeryx,Artiodactyla_Turcocerus,Artiodactyla_Turiacemas,Artiodactyla_Turritragus,Artiodactyla_Tuscomeryx,Artiodactyla_Tyrrhenotragus,Artiodactyla_Umbrotherium,Artiodactyla_Urmiatherium,Artiodactyla_Xenochoerus,Artiodactyla_Xenohyus,Hyracoidea_Kvabebihyrax,Hyracoidea_Pliohyrax,Hyracoidea_Prohyrax,Perissodactyla_Aceratherium,Perissodactyla_Acerorhinus,Perissodactyla_Alicornops,Perissodactyla_Anchitherium,Perissodactyla_Ancylotherium,Perissodactyla_Anisodon,Perissodactyla_Begertherium,Perissodactyla_Brachypotherium,Perissodactyla_Caementodon,Perissodactyla_Ceratotherium,Perissodactyla_Chalicotherium,Perissodactyla_Chilotherium,Perissodactyla_Cormohipparion,Perissodactyla_Cremohipparion,Perissodactyla_Diaceratherium,Perissodactyla_Dicerorhinus,Perissodactyla_Diceros,Perissodactyla_Dihoplus,Perissodactyla_Elasmotherium,Perissodactyla_Equus,Perissodactyla_Gaindatherium,Perissodactyla_Hipparion,Perissodactyla_Hippotherium,Perissodactyla_Hispanotherium,Perissodactyla_Hoploaceratherium,Perissodactyla_Iranotherium,Perissodactyla_Kalimantsia,Perissodactyla_Lartetotherium,Perissodactyla_Mesaceratherium,Perissodactyla_Metaschizotherium,Perissodactyla_Paranchitherium,Perissodactyla_Paratapirus,Perissodactyla_Phyllotillon,Perissodactyla_Plesiaceratherium,Perissodactyla_Plesiohipparion,Perissodactyla_Pleuroceros,Perissodactyla_Pliodiceros,Perissodactyla_Procoelodonta,Perissodactyla_Prosantorhinus,Perissodactyla_Protaceratherium,Perissodactyla_Protapirus,Perissodactyla_Ronzotherium,Perissodactyla_Schizotherium,Perissodactyla_Sinohippus,Perissodactyla_Sinotherium,Perissodactyla_Stephanorhinus,Perissodactyla_Subchilotherium,Perissodactyla_Tapiriscus,Perissodactyla_Tapirus,Primates_Anapithecus,Primates_Ankarapithecus,Primates_Anoiapithecus,Primates_Barberapithecus,Primates_Crouzelia,Primates_Danuvius,Primates_Dolichopithecus,Primates_Dryopithecus,Primates_Egarapithecus,Primates_Griphopithecus,Primates_Hispanopithecus,Primates_Kenyapithecus,Primates_Macaca,Primates_Mesopithecus,Primates_Oreopithecus,Primates_Ouranopithecus,Primates_Paradolichopithecus,Primates_Pierolapithecus,Primates_Plesiopliopithecus,Primates_Pliopithecus,Primates_Semnopithecus,Proboscidea_Amebelodon,Proboscidea_Anancus,Proboscidea_Archaeobelodon,Proboscidea_Choerolophodon,Proboscidea_Deinotherium,Proboscidea_Elephas,Proboscidea_Gomphotherium,Proboscidea_Incertaesedis,Proboscidea_Mammut,Proboscidea_Mammuthus,Proboscidea_Mastodon,Proboscidea_Platybelodon,Proboscidea_Prodeinotherium,Proboscidea_Protanancus,Proboscidea_Serridentinus,Proboscidea_Stegolophodon,Proboscidea_Stegotetrabelodon,Proboscidea_Tetralophodon,Proboscidea_Zygolophodon,indet.
20476,Megalo Emvolon (MEV),40.3,22.45,5.0,3.55,12,MN15,n,2.00,3,6,6,6,4,0,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20477,Györszentmárton,47.55,17.75,7.6,7.1,9,MN12,\N,2.00,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20479,Valdecebro II,40.22,-1.03,7.1,5.3,10,MN13,\N,3.00,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20480,Perpignan,42.683,2.883,5.0,3.55,12,MN15,\N,1.50,4,13,14,14,6,0,3,2,2,6,0,4,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20481,Layna,41.05,-2.19,5.0,3.55,12,MN15,\N,2.17,3,5,5,7,2,0,2,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20482,Samos Old Mill Beds,37.507,26.877,8.3,7.695,8,MN11,y,2.50,2,3,4,4,1,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20484,Samos Main Bone Beds,37.507,26.877,7.528,7.14,9,MN12,y,1.79,4,31,39,39,19,1,7,0,4,23,1,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20485,Armantes 1,41.3891,-1.6968,17.2,16.4,2,MN4,\N,1.20,3,9,9,10,5,0,3,0,1,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20486,Munébrega 1,41.2551,-1.689,17.2,16.4,2,MN4,\N,1.29,3,6,6,8,4,0,2,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20488,Peralejos,40.29,-1.02,5.3,5.0,11,MN14,\N,1.00,1,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20489,Tramacastiel,40.25,-1.35,7.1,5.3,10,MN13,\N,2.00,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20490,Las Pedrizas,40.3794361,-1.1458717,7.6,7.1,9,MN12,\N,1.40,3,6,6,9,2,0,1,0,3,4,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3
20491,Subsòl de Sabadell,41.33,2.07,11.2,9.9,6,MN9,y,1.30,3,11,11,11,6,0,3,0,2,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20495,Can Petit,42.373,1.4278,11.2,9.9,6,MN9,\N,1.00,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20496,Teuleria del Firal,42.367,1.45,11.2,9.9,6,MN9,\N,1.23,4,13,13,13,4,0,6,1,2,4,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
