Puercan,66.04,64.81,Age
Puercan-1,66.04,65.83,Subage
Puercan-2,65.83,64.1,Subage
Torrejonian,64.81,62.22,Age
Torrejonian-1,64.81,63.49,Subage
Puercan-3,64.1,64.81,Subage
Torrejonian-2,63.49,62.52,Subage
Torrejonian-3,62.52,62.22,Subage
Tiffanian,62.22,57.24,Age
Tiffanian-1,62.22,61.61,Subage
Tiffanian-2,61.61,59.61,Subage
Tiffanian-3,59.61,58.63,Subage
Tiffanian-4,58.63,58.24,Subage
Tiffanian-5,58.24,57.66,Subage
Tiffanian-6,57.66,57.24,Subage
Clarkforkian,57.24,55.96,Age
Clarkforkian-1,57.24,57.04,Subage
Clarkforkian-2,57.04,56.54,Subage
Clarkforkian-3,56.54,55.96,Subage
Wasatchian,55.96,52.11,Age
Wasatchian-0,55.96,55.79,Subage
Wasatchian-1,55.79,55.54,Subage
Wasatchian-2,55.54,55.07,Subage
Wasatchian-3,55.07,54.61,Subage
Wasatchian-4,54.61,54.05,Subage
Wasatchian-5,54.05,53.42,Subage
Wasatchian-6,53.42,53.07,Subage
Wasatchian-7,53.07,52.11,Subage
Bridgerian,52.11,47.96,Age
Bridgerian-0,52.11,51.91,Subage
Bridgerian-1,51.91,49.27,Subage
Bridgerian-2,49.27,48.64,Subage
Bridgerian-3,48.64,47.96,Subage
Uintan,47.96,39.83,Age
Uintan-1,47.96,45.38,Subage
Uintan-2,45.38,42.78,Subage
Uintan-3,42.78,39.83,Subage
Duchesnean,39.83,37.39,Age
Duchesnean-1,39.83,38.69,Subage
Duchesnean-2,38.69,37.39,Zone
Chadronian,37.39,33.9,Age
Chadronian-1,37.39,35.92,Subage
Chadronian-2,35.92,35.24,Subage
Chadronian-3,35.24,34.7,Subage
Chadronian-4,34.7,33.9,Subage
Orellan,33.9,32.1,Age
Orellan-1,33.9,33.4,Subage
Orellan-2,33.4,33.1,Subage
Orellan-3,33.1,32.5,Subage
Orellan-4,32.5,32.1,Subage
Whitneyan,32.1,29.75,Age
Whitneyan-1,32.1,31.4,Subage
Whitneyan-2,31.4,29.75,Subage
Arikareean,29.75,18.5,Age
Arikareean-1,29.75,28,Subage
Arikareean-2,28,22.2,Subage
Arikareean-3,22.2,19.09,Subage
Arikareean-4,19.09,18.5,Subage
Hemingfordian,18.5,15.97,Age
Hemingfordian-1,18.5,17.34,Subage
Hemingfordian-2,17.34,15.97,Subage
Barstovian,15.97,12.57,Age
Barstovian-1,15.97,14.78,Subage
Barstovian-2,14.78,12.57,Subage
Clarendonian,12.57,9.07,Age
Clarendonian-1,12.57,12.11,Subage
Clarendonian-2,12.11,10.09,Subage
Clarendonian-3,10.09,9.07,Subage
Hemphillian,9.07,4.91,Age
Hemphillian-1,9.07,7.59,Subage
Hemphillian-2,7.59,6.88,Subage
Hemphillian-3,6.88,5.91,Subage
Hemphillian-4,5.91,4.91,Subage
Blancan,4.91,1.8,Age
Blancan-1,4.91,4.61,Subage
Blancan-Early,4.91,2.63,Subage
Blancan-2,4.61,4.1,Subage
Blancan-3,4.1,3.1,Subage
Blancan-4,3.1,2.63,Subage
Blancan-5,2.63,1.8,Subage
Blancan-Late,2.63,1.8,Subage
Irvingtonian,1.8,0.2,Age
Irvingtonian-1,1.8,0.9,Subage
Irvingtonian-2,0.9,0.39,Subage
Irvingtonian-3,0.39,0.2,Subage
Rancholabrean,0.2,0,Zone
