LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,SLICE_ID,SLICE_NAME,MEAN_HYPSODONTY,nb_orders,nb_genera,nb_spec,nb_spec_all,Carnivora_genera,Creodonta_genera,Tubulidentata_genera,Carnivora,Creodonta,Tubulidentata,Carnivora_Acinonyx,Carnivora_Adcrocuta,Carnivora_Adroverictis,Carnivora_Afrosmilus,Carnivora_Agnotherium,Carnivora_Agriarctos,Carnivora_Agriotherium,Carnivora_Albanosmilus,Carnivora_Allohyaena,Carnivora_Alopecocyon,Carnivora_Amphictis,Carnivora_Amphicyon,Carnivora_Amphicyonopsis,Carnivora_Amphimachairodus,Carnivora_Anatolictis,Carnivora_Arctomeles,Carnivora_Ballusia,Carnivora_Baranogale,Carnivora_Barbourofelis,Carnivora_Bathygale,Carnivora_Belbus,Carnivora_Broiliana,Carnivora_Canis,Carnivora_Cephalogale,Carnivora_Chasmaporthetes,Carnivora_Circamustela,Carnivora_Crassidia,Carnivora_Crocuta,Carnivora_Cynelos,Carnivora_Cyrnaonyx,Carnivora_Dinocrocuta,Carnivora_Dinocyon,Carnivora_Dinofelis,Carnivora_Enhydrictis,Carnivora_Enhydriodon,Carnivora_Eomellivora,Carnivora_Euboictis,Carnivora_Eucyon,Carnivora_Felis,Carnivora_Fortunictis,Carnivora_Gaillardina,Carnivora_Grivamephitis,Carnivora_Hadrictis,Carnivora_Haplocyon,Carnivora_Haplocyonoides,Carnivora_Hemicyon,Carnivora_Herpestes,Carnivora_Herpestides,Carnivora_Hesperoviverra,Carnivora_Homotherium,Carnivora_Hoplictis,Carnivora_Hyaenictis,Carnivora_Hyaenictitherium,Carnivora_Iberictis,Carnivora_Ictiocyon,Carnivora_Ictitherium,Carnivora_Indarctos,Carnivora_Ischyrictis,Carnivora_Jourdanictis,Carnivora_Laphyctis,Carnivora_Lartetictis,Carnivora_Leptoplesictis,Carnivora_Limnonyx,Carnivora_Lophocyon,Carnivora_Lutra,Carnivora_Lycyaena,Carnivora_Lynx,Carnivora_Machairodus,Carnivora_Magerictis,Carnivora_Magericyon,Carnivora_Marcetia,Carnivora_Martes,Carnivora_Megantereon,Carnivora_Meiniogale,Carnivora_Meles,Carnivora_Melidellavus,Carnivora_Mellivora,Carnivora_Melodon,Carnivora_Mesomephitis,Carnivora_Metailurus,Carnivora_Miohyaenotherium,Carnivora_Miomachairodus,Carnivora_Miomephitis,Carnivora_Mustela,Carnivora_Nyctereutes,Carnivora_Pachycrocuta,Carnivora_Palaeogale,Carnivora_Palaeomeles,Carnivora_Paludolutra,Carnivora_Pannonictis,Carnivora_Panthera,Carnivora_Paraenhydriodon,Carnivora_Paragale,Carnivora_Parailurus,Carnivora_Paralutra,Carnivora_Paramachaerodus,Carnivora_Parameles,Carnivora_Parataxidea,Carnivora_Percrocuta,Carnivora_Phoberocyon,Carnivora_Phoberogale,Carnivora_Plesictis,Carnivora_Plesiogale,Carnivora_Plesiogulo,Carnivora_Plesiomeles,Carnivora_Pliocrocuta,Carnivora_Plioviverrops,Carnivora_Plithocyon,Carnivora_Pristifelis,Carnivora_Proailurus,Carnivora_Progenetta,Carnivora_Promegantereon,Carnivora_Promeles,Carnivora_Promephitis,Carnivora_Proputorius,Carnivora_Prosansanosmilus,Carnivora_Protictitherium,Carnivora_Protursus,Carnivora_Pseudaelurus,Carnivora_Pseudarctos,Carnivora_Pseudocyon,Carnivora_Puma,Carnivora_Rhodanictis,Carnivora_Sabadellictis,Carnivora_Sansanosmilus,Carnivora_Schlossericyon,Carnivora_Semigenetta,Carnivora_Simocyon,Carnivora_Sinictis,Carnivora_Sivanasua,Carnivora_Sivaonyx,Carnivora_Stenailurus,Carnivora_Stenogale,Carnivora_Stromeriella,Carnivora_Styriofelis,Carnivora_Taxodon,Carnivora_Thalassictis,Carnivora_Thaumastocyon,Carnivora_Trocharion,Carnivora_Trochictis,Carnivora_Trochotherium,Carnivora_Tyrrhenolutra,Carnivora_Ursavus,Carnivora_Ursus,Carnivora_Viverra,Carnivora_Viverrictis,Carnivora_Vormela,Carnivora_Vulpes,Carnivora_Xenalopex,Carnivora_Xenictis,Carnivora_Ysengrinia,Carnivora_Zaragocyon,Creodonta_Hyainailouros,Tubulidentata_Orycteropus,indet.
20010,Pontlevoy,47.4,1.2,16.4,14.2,3,MN5,1.08,2,16,16,16,15,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20011,Göriach,47.55,15.3,16.4,14.2,3,MN5,1.00,1,9,11,11,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20012,Erkertshofen 2,48.9797,11.207222222222201,17.2,16.4,2,MN4,1.00,1,8,8,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20013,Esvres - Marine Faluns,47.3,0.8,16.4,14.2,3,MN5,1.11,2,19,22,22,18,1,0,21,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20014,Buñol,39.4277777777778,-0.7944444444444441,17.2,16.4,2,MN4,1.07,1,6,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20015,Puente de Vallecas,40.2,-3.5,16.4,14.2,3,MN5,1.23,1,5,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20016,Langenau 1,48.4855555555556,10.0997,17.2,16.4,2,MN4,1.21,1,6,6,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20017,Sandelzhausen,48.6278,11.8044,16.4,14.2,3,MN5,1.07,1,9,9,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20019,Eppelsheim,49.723,8.979,11.2,9.9,6,MN9,1.19,1,8,8,8,8,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20020,Can Llobateres 1,41.532663,2.13691,9.786,9.721,7,MN10,1.23,1,23,26,26,23,0,0,26,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
