LIDNUM,NAME,LAT,LONG,MAX_AGE,MIN_AGE,SLICE_ID,SLICE_NAME,MEAN_HYPSODONTY,nb_orders,nb_genera,nb_spec,nb_spec_all,Artiodactyla_genera,Perissodactyla_genera,Primates_genera,Proboscidea_genera,Artiodactyla,Perissodactyla,Primates,Proboscidea,Artiodactyla_Aepycamelus,Artiodactyla_Agriochoerus,Artiodactyla_Aletomeryx,Artiodactyla_Alforjas,Artiodactyla_Aquascalientia,Artiodactyla_Archaeotherium,Artiodactyla_Arretotherium,Artiodactyla_Australocamelus,Artiodactyla_Barbouromeryx,Artiodactyla_Blastomeryx,Artiodactyla_Blickohyus,Artiodactyla_Blickomylus,Artiodactyla_Boreameryx,Artiodactyla_Bothriodon,Artiodactyla_Bouromeryx,Artiodactyla_Brachycrus,Artiodactyla_Bretzia,Artiodactyla_Camelops,Artiodactyla_Capromeryx,Artiodactyla_Catagonus,Artiodactyla_Ceratomeryx,Artiodactyla_Choerodon,Artiodactyla_Cosoryx,Artiodactyla_Cranioceras,Artiodactyla_Cuyamacamelus,Artiodactyla_Cynorca,Artiodactyla_Daeodon,Artiodactyla_Delahomeryx,Artiodactyla_Drepanomeryx,Artiodactyla_Dromomeryx,Artiodactyla_Dyseohyus,Artiodactyla_Elomeryx,Artiodactyla_Eocoileus,Artiodactyla_Eotylopus,Artiodactyla_Eporeodon,Artiodactyla_Eucrotaphus,Artiodactyla_Floridachoerus,Artiodactyla_Floridatragulus,Artiodactyla_Gentilicamelus,Artiodactyla_Gigantocamelus,Artiodactyla_Hemiauchenia,Artiodactyla_Hendryomeryx,Artiodactyla_Heptacodon,Artiodactyla_Hesperhys,Artiodactyla_Hesperocamelus,Artiodactyla_Hexameryx,Artiodactyla_Hexobelomeryx,Artiodactyla_Homocamelus,Artiodactyla_Hypertragulus,Artiodactyla_Hypisodus,Artiodactyla_Hypsiops,Artiodactyla_Ilingoceros,Artiodactyla_Kukusepasutanka,Artiodactyla_Kyptoceras,Artiodactyla_Lambdoceras,Artiodactyla_Leptauchenia,Artiodactyla_Leptochoerus,Artiodactyla_Leptomeryx,Artiodactyla_Leptoreodon,Artiodactyla_Leptotragulus,Artiodactyla_Longirostromeryx,Artiodactyla_Machaeromeryx,Artiodactyla_Macrogenis,Artiodactyla_Mediochoerus,Artiodactyla_Megacamelus,Artiodactyla_Megatylopus,Artiodactyla_Merriamoceros,Artiodactyla_Meryceros,Artiodactyla_Merychyus,Artiodactyla_Merycochoerus,Artiodactyla_Merycodus,Artiodactyla_Merycoides,Artiodactyla_Merycoidodon,Artiodactyla_Mesoreodon,Artiodactyla_Michenia,Artiodactyla_Miniochoerus,Artiodactyla_Miolabis,Artiodactyla_Miotylopus,Artiodactyla_Mylohyus,Artiodactyla_Nanotragulus,Artiodactyla_Neotragocerus,Artiodactyla_Nothokemas,Artiodactyla_Nothotylopus,Artiodactyla_Odocoileus,Artiodactyla_Oreodontoides,Artiodactyla_Oreonetes,Artiodactyla_Osbornoceros,Artiodactyla_Oxydactylus,Artiodactyla_Palaeolama,Artiodactyla_Parablastomeryx,Artiodactyla_Paracosoryx,Artiodactyla_Paralabis,Artiodactyla_Paramiolabis,Artiodactyla_Paratoceras,Artiodactyla_Paratylopus,Artiodactyla_Paroreodon,Artiodactyla_Pediomeryx,Artiodactyla_Perchoerus,Artiodactyla_Phenacocoelus,Artiodactyla_Platygonus,Artiodactyla_Pleiolama,Artiodactyla_Plioceros,Artiodactyla_Poebrotherium,Artiodactyla_Priscocamelus,Artiodactyla_Proantilocapra,Artiodactyla_Problastomeryx,Artiodactyla_Procamelus,Artiodactyla_Procranioceras,Artiodactyla_Prodesmatochoerus,Artiodactyla_Pronodens,Artiodactyla_Prosthennops,Artiodactyla_Prosynthetoceras,Artiodactyla_Protoceras,Artiodactyla_Protolabis,Artiodactyla_Pseudoblastomeryx,Artiodactyla_Pseudoceras,Artiodactyla_Pseudolabis,Artiodactyla_Pseudoparablastomeryx,Artiodactyla_Rakomeryx,Artiodactyla_Rakomylus,Artiodactyla_Ramoceros,Artiodactyla_Sespia,Artiodactyla_Simimeryx,Artiodactyla_Sinclairomeryx,Artiodactyla_Sphenophalos,Artiodactyla_Stenomylus,Artiodactyla_Stibarus,Artiodactyla_Subantilocapra,Artiodactyla_Subdromomeryx,Artiodactyla_Submeryceros,Artiodactyla_Syndyoceras,Artiodactyla_Synthetoceras,Artiodactyla_Tanymykter,Artiodactyla_Tayassu,Artiodactyla_Tetrameryx,Artiodactyla_Texoceros,Artiodactyla_Thinohyus,Artiodactyla_Ticholeptus,Artiodactyla_Titanotylopus,Artiodactyla_Yumaceras,Perissodactyla_Acritohippus,Perissodactyla_Anchippus,Perissodactyla_Anchitherium,Perissodactyla_Aphelops,Perissodactyla_Archaeohippus,Perissodactyla_Astrohippus,Perissodactyla_Calippus,Perissodactyla_Colodon,Perissodactyla_Cormohipparion,Perissodactyla_Desmatippus,Perissodactyla_Diceratherium,Perissodactyla_Dinohippus,Perissodactyla_Equus,Perissodactyla_Floridaceras,Perissodactyla_Galushaceras,Perissodactyla_Gulfoceras,Perissodactyla_Heteropliohippus,Perissodactyla_Hipparion,Perissodactyla_Hippidion,Perissodactyla_Hypohippus,Perissodactyla_Hyracodon,Perissodactyla_Kalobatippus,Perissodactyla_Megahippus,Perissodactyla_Menoceras,Perissodactyla_Merychippus,Perissodactyla_Mesohippus,Perissodactyla_Metamynodon,Perissodactyla_Miohippus,Perissodactyla_Miotapirus,Perissodactyla_Moropus,Perissodactyla_Nannippus,Perissodactyla_Neohipparion,Perissodactyla_Nexuotapirus,Perissodactyla_Onohippidium,Perissodactyla_Parahippus,Perissodactyla_Parapliohippus,Perissodactyla_Penetrigonias,Perissodactyla_Peraceras,Perissodactyla_Plesiohipparion,Perissodactyla_Pliohippus,Perissodactyla_Protapirus,Perissodactyla_Protohippus,Perissodactyla_Pseudohipparion,Perissodactyla_Scaphohippus,Perissodactyla_Skinnoceras,Perissodactyla_Subhyracodon,Perissodactyla_Tapiravus,Perissodactyla_Tapirus,Perissodactyla_Teleoceras,Perissodactyla_Toxotherium,Perissodactyla_Trigonias,Perissodactyla_Triplopus,Perissodactyla_Tylocephalonyx,Primates_Ekgmowechashala,Proboscidea_Amebelodon,Proboscidea_Cuvieronius,Proboscidea_Eubelodon,Proboscidea_Gnathabelodon,Proboscidea_Gomphotherium,Proboscidea_Mammut,Proboscidea_Megabelodon,Proboscidea_Rhynchotherium,Proboscidea_Serbelodon,Proboscidea_Stegomastodon,Proboscidea_Tetralophodon,Proboscidea_Torynobelodon,Proboscidea_Zygolophodon,indet.
10315,Central Great Plains CP52,42.908056,-104.421667,22.2,19.09,4,Arikareean-3,1.50,2,20,25,26,16,4,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10316,Central Great Plains CP53,41.682222,-104.731389,19.09,18.5,5,Arikareean-4,1.25,2,4,4,4,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10317,Central Great Plains CP53II,41.14555,-104.801944,18.5,17.34,6,Hemingfordian-1,1.00,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10318,Central Great Plains CP54A,42.446389,-107.556667,18.5,17.34,6,Hemingfordian-1,1.33,1,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10319,Central Great Plains CP54B,42.446389,-107.556667,17.34,15.97,7,Hemingfordian-2,1.64,2,9,11,12,6,3,0,0,8,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10320,Central Great Plains CP54C,42.461389,-107.486667,12.11,10.09,11,Clarendonian-2,3.00,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10321,Central Great Plains CP54II,41.14555,-104.801944,17.34,15.97,7,Hemingfordian-2,1.60,2,5,5,5,4,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10323,Central Great Plains CP56,41.5,-104.75,14.78,12.57,9,Barstovian-2,2.30,3,10,10,10,5,4,0,1,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10352,Central Great Plains CP68C,40.57861,-103.35778,33.9,32.1,0,Orellan,1.08,2,18,23,24,14,4,0,0,20,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10353,Central Great Plains CP68D,39.739167,-104.984722,31.4,29.75,1,Whitneyan,1.50,2,10,11,12,7,3,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10357,Central Great Plains CP71,40.901667,-103.269722,18.5,17.34,6,Hemingfordian-1,1.56,2,15,16,16,9,6,0,0,9,7,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10358,Central Great Plains CP72A,41.000556,-106.559444,18.5,17.34,6,Hemingfordian-1,2.00,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10359,Central Great Plains CP72B,39.739167,-104.984722,17.34,15.97,7,Hemingfordian-2,1.67,2,2,3,3,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10362,Central Great Plains CP73C,40.594722,-108.645278,14.78,12.57,9,Barstovian-2,2.00,2,2,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10363,Central Great Plains CP73D,40.460278,-108.247222,14.78,12.57,9,Barstovian-2,2.00,2,4,4,4,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10365,Central Great Plains CP74A,40.074722,-105.945278,18.5,17.34,6,Hemingfordian-1,1.33,1,3,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10367,Central Great Plains CP74B,39.739167,-104.984722,15.97,14.78,8,Barstovian-1,1.83,2,6,6,6,5,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10368,Central Great Plains CP74C,39.739167,-104.984722,12.11,10.09,11,Clarendonian-2,2.00,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10370,Central Great Plains CP75B,40.870556,-103.920556,15.97,14.78,8,Barstovian-1,1.90,3,26,30,31,16,10,0,0,16,14,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10371,Central Great Plains CP75BB,39.739167,-104.984722,14.78,12.57,9,Barstovian-2,1.88,3,24,25,25,14,8,0,2,14,9,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
10372,Central Great Plains CP75C,40.815278,-104.065833,14.78,12.57,9,Barstovian-2,2.00,3,20,22,22,13,6,0,1,14,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
